//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 7-11-2014
//--  Time: 21:16
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:10, 20
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
788	17.70	177 	3.848
789	17.71	177 	3.853
790	17.71	177 	3.857
791	17.72	177 	3.862
792	17.73	177 	3.867
793	17.74	177 	3.872
794	17.75	178 	3.877
795	17.76	178 	3.882
796	17.77	178 	3.887
797	17.78	178 	3.892
798	17.79	178 	3.896
799	17.80	178 	3.901
800	17.81	178 	3.906
801	17.82	178 	3.911
802	17.83	178 	3.916
803	17.84	178 	3.921
804	17.85	179 	3.926
805	17.86	179 	3.931
806	17.87	179 	3.936
807	17.88	179 	3.940
808	17.89	179 	3.945
809	17.90	179 	3.950
810	17.91	179 	3.955
811	17.92	179 	3.960
812	17.93	179 	3.965
813	17.94	179 	3.970
814	17.95	179 	3.975
815	17.96	180 	3.979
816	17.97	180 	3.984
817	17.98	180 	3.989
818	17.99	180 	3.994
819	18.00	180 	3.999
820	18.01	180 	4.004
821	18.02	180 	4.009
822	18.03	180 	4.014
823	18.04	180 	4.019
824	18.05	180 	4.023
825	18.06	181 	4.028
826	18.07	181 	4.033
827	18.08	181 	4.038
828	18.09	181 	4.043
829	18.10	181 	4.048
830	18.11	181 	4.053
831	18.12	181 	4.058
832	18.13	181 	4.063
833	18.13	181 	4.067
834	18.14	181 	4.072
835	18.15	182 	4.077
836	18.16	182 	4.082
837	18.17	182 	4.087
838	18.18	182 	4.092
839	18.19	182 	4.097
840	18.20	182 	4.102
841	18.21	182 	4.106
842	18.22	182 	4.111
843	18.23	182 	4.116
844	18.24	182 	4.121
845	18.25	183 	4.126
846	18.26	183 	4.131
847	18.27	183 	4.136
848	18.28	183 	4.141
849	18.29	183 	4.146
850	18.30	183 	4.150
851	18.31	183 	4.155
852	18.32	183 	4.160
853	18.33	183 	4.165
854	18.34	183 	4.170
855	18.35	183 	4.175
856	18.36	184 	4.180
857	18.37	184 	4.185
858	18.38	184 	4.189
859	18.39	184 	4.194
860	18.40	184 	4.199
861	18.41	184 	4.204
862	18.42	184 	4.209
863	18.43	184 	4.214
864	18.44	184 	4.219
865	18.45	184 	4.224
866	18.46	185 	4.229
867	18.47	185 	4.233
868	18.48	185 	4.238
869	18.49	185 	4.243
870	18.50	185 	4.248
871	18.51	185 	4.253
872	18.52	185 	4.258
873	18.53	185 	4.263
874	18.54	185 	4.268
875	18.54	185 	4.272
876	18.55	186 	4.277
877	18.56	186 	4.282
878	18.57	186 	4.287
879	18.58	186 	4.292
880	18.59	186 	4.297
881	18.60	186 	4.302
882	18.61	186 	4.307
883	18.62	186 	4.312
884	18.63	186 	4.316
885	18.64	186 	4.321
886	18.65	187 	4.326
887	18.66	187 	4.331
888	18.67	187 	4.336
889	18.68	187 	4.341
890	18.69	187 	4.346
891	18.70	187 	4.351
892	18.71	187 	4.355
893	18.72	187 	4.360
894	18.73	187 	4.365
895	18.74	187 	4.370
896	18.75	188 	4.375
897	18.76	188 	4.380
898	18.77	188 	4.385
899	18.78	188 	4.390
900	18.79	188 	4.395
901	18.80	188 	4.399
902	18.81	188 	4.404
903	18.82	188 	4.409
904	18.83	188 	4.414
905	18.84	188 	4.419
906	18.85	188 	4.424
907	18.86	189 	4.429
908	18.87	189 	4.434
909	18.88	189 	4.438
910	18.89	189 	4.443
911	18.90	189 	4.448
912	18.91	189 	4.453
913	18.92	189 	4.458
914	18.93	189 	4.463
915	18.94	189 	4.468
916	18.95	189 	4.473
917	18.96	190 	4.478
918	18.96	190 	4.482
919	18.97	190 	4.487
920	18.98	190 	4.492
921	18.99	190 	4.497
922	19.00	190 	4.502
923	19.01	190 	4.507
924	19.02	190 	4.512
925	19.03	190 	4.517
926	19.04	190 	4.521
927	19.05	191 	4.526
928	19.06	191 	4.531
929	19.07	191 	4.536
930	19.08	191 	4.541
931	19.09	191 	4.546
932	19.10	191 	4.551
933	19.11	191 	4.556
934	19.12	191 	4.561
935	19.13	191 	4.565
936	19.14	191 	4.570
937	19.15	192 	4.575
938	19.16	192 	4.580
939	19.17	192 	4.585
940	19.18	192 	4.590
941	19.19	192 	4.595
942	19.20	192 	4.600
943	19.21	192 	4.604
944	19.22	192 	4.609
945	19.23	192 	4.614
946	19.24	192 	4.619
947	19.25	192 	4.624
948	19.26	193 	4.629
949	19.27	193 	4.634
950	19.28	193 	4.639
951	19.29	193 	4.644
952	19.30	193 	4.648
953	19.31	193 	4.653
954	19.32	193 	4.658
955	19.33	193 	4.663
956	19.34	193 	4.668
957	19.35	193 	4.673
958	19.36	194 	4.678
959	19.37	194 	4.683
960	19.38	194 	4.688
961	19.38	194 	4.692
962	19.39	194 	4.697
963	19.40	194 	4.702
964	19.41	194 	4.707
965	19.42	194 	4.712
966	19.43	194 	4.717
967	19.44	194 	4.722
968	19.45	195 	4.727
969	19.46	195 	4.731
970	19.47	195 	4.736
971	19.48	195 	4.741
972	19.49	195 	4.746
